gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime
144,1,2015,2015-09-26 18:00:00,75,83,2,5,518,888,8.594,1,2
145,1,2015,2015-09-26 18:00:00,87,71,3,2,5.951,2.444,1.605,1,0
146,1,2015,2015-09-26 18:00:00,89,77,3,0,8.918,905,177,1,0
147,1,2015,2015-09-26 18:00:00,81,79,2,2,6.699,1.845,1.456,1,1
148,1,2015,2015-09-26 20:30:00,86,80,2,2,1.859,291,5.231,1,0
149,1,2015,2015-09-27 19:00:00,90,78,0,1,569,1.435,7.996,0,0
150,1,2015,2015-09-28 23:00:00,76,72,2,3,1.438,2.157,6.405,1,0
151,1,2015,2015-10-03 15:45:00,78,76,2,0,8.739,1.063,198,0,0
152,1,2015,2015-10-03 18:00:00,71,85,0,1,2.754,3.399,3.847,0,0
153,1,2015,2015-10-03 18:00:00,73,90,1,1,5.344,2.944,1.712,1,1
154,1,2015,2015-10-03 18:00:00,88,86,6,1,8.752,868,38,1,1
155,1,2015,2015-10-03 18:00:00,79,75,1,2,678,1.304,8.018,0,1
156,1,2015,2015-10-03 18:00:00,77,81,2,2,1.641,2.374,5.985,2,1
157,1,2015,2015-10-03 20:30:00,80,74,1,3,1.026,2.361,6.613,1,1
158,1,2015,2015-10-04 16:30:00,72,87,1,1,326,2.934,3.806,1,1
159,1,2015,2015-10-04 19:00:00,84,82,2,2,2.346,3.024,463,2,1
160,1,2015,2015-10-04 19:00:00,83,89,3,0,6.748,2.088,1.164,3,0
161,1,2015,2015-10-17 15:45:00,82,87,0,0,2.472,4.004,3.524,0,0
162,1,2015,2015-10-17 18:00:00,74,75,2,2,1.307,1.851,6.842,2,0
163,1,2015,2015-10-17 18:00:00,76,77,1,0,8.061,1.513,426,0,0
164,1,2015,2015-10-17 18:00:00,80,71,2,0,4.675,3.206,2.119,1,0
165,1,2015,2015-10-17 18:00:00,78,81,1,3,623,1.503,7.874,1,1
166,1,2015,2015-10-17 18:00:00,72,89,0,3,1.498,2.575,5.927,0,2
167,1,2015,2015-10-17 18:00:00,88,73,5,1,9.979,21,0,4,1
168,1,2015,2015-10-17 20:30:00,90,83,0,3,97,629,9.274,0,0
169,1,2015,2015-10-18 19:00:00,86,79,6,2,602,2.198,1.782,3,2
170,1,2015,2015-10-19 23:00:00,84,85,0,1,635,0.2,7.365,0,1
171,1,2015,2015-10-24 18:00:00,71,84,1,2,1.816,2.666,5.518,0,0
172,1,2015,2015-10-24 18:00:00,75,78,1,0,8.261,1.547,192,0,0
173,1,2015,2015-10-24 18:00:00,81,80,2,1,225,3.316,4.434,1,0
174,1,2015,2015-10-24 18:00:00,79,76,0,1,222,2.908,4.872,0,0
175,1,2015,2015-10-24 18:00:00,85,90,0,2,2.846,3.308,3.846,0,1
176,1,2015,2015-10-24 20:30:00,83,72,2,1,9.041,765,194,2,1
177,1,2015,2015-10-25 16:00:00,77,86,3,0,6.564,2.071,1.365,1,0
178,1,2015,2015-10-25 18:05:00,73,82,1,5,68,322,961,1,3
179,1,2015,2015-10-25 18:05:00,89,88,0,0,2.594,5.534,1.872,0,0
180,1,2015,2015-10-25 20:15:00,87,74,1,1,977,2.344,6.679,0,0
181,1,2015,2015-10-31 16:45:00,80,87,1,3,2.926,3.688,3.386,1,1
182,1,2015,2015-10-31 19:00:00,78,89,0,0,5.081,3.484,1.435,0,0
183,1,2015,2015-10-31 19:00:00,88,79,2,1,8.173,1.426,401,0,0
184,1,2015,2015-10-31 19:00:00,86,85,0,0,3.105,2.908,3.987,0,0
185,1,2015,2015-10-31 19:00:00,84,83,0,3,193,1.095,8.712,0,0
186,1,2015,2015-10-31 19:00:00,90,81,2,0,6.357,2.435,1.208,1,0
187,1,2015,2015-10-31 19:00:00,76,75,2,3,195,2.452,5.598,1,0
188,1,2015,2015-11-01 17:30:00,72,77,6,2,6.652,1.906,1.442,2,1
189,1,2015,2015-11-01 20:00:00,74,73,2,0,4.914,3.147,1.939,2,0
190,1,2015,2015-11-03 00:00:00,82,71,3,1,5.938,3.045,1.017,2,0
191,1,2015,2015-11-07 16:45:00,73,86,0,1,4.623,354,1.837,0,1
192,1,2015,2015-11-07 19:00:00,75,90,2,1,4.997,3.379,1.624,0,0
